R2 score

+-------------------+------------------+--------------+-------------+---------------+
| обучение образцы  | тестовые образцы | Угол нашивки |  Layer Size | Number Layers |
|        -0.02      |       -0.02      |          0   |        22   |       31      |
|        -0.00      |       -0.13      |         90   |        22   |       32      |
|        -0.00      |       -0.06      |          0   |        22   |       32      |
|        +0.15      |       -0.47      |         90   |        22   |       33      |
|        -0.07      |       -0.00      |          0   |        22   |       33      |
|        +0.34      |       -0.14      |         90   |        22   |       34      |
|        -0.00      |       -0.08      |          0   |        22   |       34      |
|        -0.01      |       -0.04      |         90   |        22   |       35      |
|        -0.00      |       -0.10      |          0   |        22   |       35      |
|        -0.00      |       -0.09      |         90   |        22   |       36      |
|        -0.00      |       -0.09      |          0   |        22   |       36      |
|        -0.04      |       -0.01      |         90   |        22   |       37      |
|        -0.00      |       -0.11      |          0   |        22   |       37      |
|        -0.00      |       -0.09      |         90   |        22   |       38      |
|        -0.01      |       -0.14      |          0   |        22   |       38      |
|        -0.01      |       -0.04      |         90   |        22   |       39      |
|        -0.02      |       -0.02      |          0   |        22   |       39      |
|        -0.00      |       -0.06      |         90   |        22   |       40      |
|        -0.00      |       -0.06      |          0   |        22   |       40      |
|        -0.01      |       -0.13      |         90   |        22   |       41      |
|        -0.01      |       -0.03      |          0   |        22   |       41      |
|        -0.01      |       -0.14      |         90   |        22   |       42      |
|        -0.03      |       -0.01      |          0   |        22   |       42      |
|        -0.00      |       -0.09      |         90   |        22   |       43      |
|        -0.00      |       -0.08      |          0   |        22   |       43      |
|        -0.00      |       -0.10      |         90   |        22   |       44      |
|        -0.06      |       -0.00      |          0   |        22   |       44      |
|        -0.00      |       -0.11      |         90   |        22   |       45      |
|        -0.01      |       -0.04      |          0   |        22   |       45      |
|        -0.00      |       -0.05      |         90   |        22   |       46      |
|        -0.01      |       -0.04      |          0   |        22   |       46      |
|        -0.00      |       -0.05      |         90   |        22   |       47      |
|        -0.00      |       -0.08      |          0   |        22   |       47      |
|        -0.00      |       -0.09      |         90   |        22   |       48      |
|        -0.00      |       -0.11      |          0   |        22   |       48      |
|        -0.00      |       -0.13      |         90   |        22   |       49      |
|        -0.01      |       -0.15      |          0   |        22   |       49      |
|        -0.01      |       -0.16      |         90   |        22   |       50      |
|        -0.01      |       -0.16      |          0   |        22   |       50      |
|        -0.00      |       -0.10      |         90   |        22   |       51      |
|        -0.01      |       -0.14      |          0   |        22   |       51      |
|        -0.01      |       -0.13      |         90   |        22   |       52      |
|        -0.00      |       -0.07      |          0   |        22   |       52      |
|        -0.00      |       -0.12      |         90   |        22   |       53      |
|        -0.01      |       -0.13      |          0   |        22   |       53      |
|        -0.00      |       -0.10      |         90   |        22   |       54      |
|        -0.03      |       -0.01      |          0   |        22   |       54      |
|        -0.00      |       -0.11      |         90   |        22   |       55      |
|        -0.02      |       -0.18      |          0   |        22   |       55      |
|        -0.02      |       -0.02      |         90   |        22   |       56      |
|        -0.00      |       -0.06      |          0   |        22   |       56      |
|        -0.00      |       -0.08      |         90   |        22   |       57      |
|        -0.00      |       -0.08      |          0   |        22   |       57      |
|        -0.00      |       -0.13      |         90   |        22   |       58      |
|        -0.01      |       -0.13      |          0   |        22   |       58      |
|        -0.01      |       -0.04      |         90   |        22   |       59      |
|        -0.00      |       -0.05      |          0   |        22   |       59      |
|        +0.97      |       -1.29      |         90   |        23   |       10      |
|        +0.99      |       -0.87      |          0   |        23   |       10      |
|        +0.99      |       -1.77      |         90   |        23   |       11      |
|        +0.99      |       -1.62      |          0   |        23   |       11      |
|        +0.99      |       -1.40      |         90   |        23   |       12      |
|        +0.99      |       -2.97      |          0   |        23   |       12      |
|        +0.99      |       -1.65      |         90   |        23   |       13      |
|        +0.98      |       -2.22      |          0   |        23   |       13      |
|        +0.99      |       -2.82      |         90   |        23   |       14      |
|        +0.99      |       -2.21      |          0   |        23   |       14      |
|        +0.99      |       -1.86      |         90   |        23   |       15      |
|        +0.99      |       -2.27      |          0   |        23   |       15      |
|        +0.99      |       -1.95      |         90   |        23   |       16      |
|        +0.98      |       -1.91      |          0   |        23   |       16      |
|        +0.99      |       -1.04      |         90   |        23   |       17      |
|        +0.99      |       -2.29      |          0   |        23   |       17      |
|        +1.00      |       -1.08      |         90   |        23   |       18      |
|        +0.99      |       -1.35      |          0   |        23   |       18      |
|        +0.99      |       -1.72      |         90   |        23   |       19      |
|        +0.99      |       -2.36      |          0   |        23   |       19      |
|        +0.97      |       -1.28      |         90   |        23   |       20      |
|        +0.97      |       -1.96      |          0   |        23   |       20      |
|        +0.99      |       -1.68      |         90   |        23   |       21      |
|        +0.97      |       -2.82      |          0   |        23   |       21      |
|        +0.98      |       -1.71      |         90   |        23   |       22      |
|        +0.98      |       -1.72      |          0   |        23   |       22      |
|        +1.00      |       -1.39      |         90   |        23   |       23      |
|        +0.96      |       -1.61      |          0   |        23   |       23      |
|        +0.90      |       -1.14      |         90   |        23   |       24      |
|        +0.75      |       -1.37      |          0   |        23   |       24      |
|        -0.00      |       -0.09      |         90   |        23   |       25      |
|        -0.00      |       -0.12      |          0   |        23   |       25      |
|        -0.00      |       -0.09      |         90   |        23   |       26      |
|        -0.04      |       -0.01      |          0   |        23   |       26      |
|        -0.00      |       -0.05      |         90   |        23   |       27      |
|        -0.01      |       -0.15      |          0   |        23   |       27      |
|        +0.80      |       -1.18      |         90   |        23   |       28      |
|        +0.08      |       -0.31      |          0   |        23   |       28      |
|        -0.01      |       -0.16      |         90   |        23   |       29      |
|        -0.01      |       -0.04      |          0   |        23   |       29      |
|        -0.05      |       -0.27      |         90   |        23   |       30      |
|        -0.00      |       -0.05      |          0   |        23   |       30      |
|        -0.00      |       -0.11      |         90   |        23   |       31      |
|        -0.00      |       -0.12      |          0   |        23   |       31      |
|        -0.00      |       -0.11      |         90   |        23   |       32      |
|        -0.00      |       -0.06      |          0   |        23   |       32      |
|        -0.01      |       -0.04      |         90   |        23   |       33      |
|        -0.00      |       -0.07      |          0   |        23   |       33      |
|        -0.01      |       -0.16      |         90   |        23   |       34      |
|        -0.00      |       -0.11      |          0   |        23   |       34      |
|        -0.02      |       -0.02      |         90   |        23   |       35      |
|        -0.02      |       -0.18      |          0   |        23   |       35      |
|        -0.00      |       -0.07      |         90   |        23   |       36      |
|        -0.01      |       -0.13      |          0   |        23   |       36      |
|        -0.00      |       -0.09      |         90   |        23   |       37      |
|        -0.02      |       -0.17      |          0   |        23   |       37      |
|        -0.00      |       -0.05      |         90   |        23   |       38      |
|        -0.01      |       -0.14      |          0   |        23   |       38      |
|        -0.01      |       -0.15      |         90   |        23   |       39      |
|        -0.00      |       -0.07      |          0   |        23   |       39      |
|        -0.02      |       -0.02      |         90   |        23   |       40      |
|        -0.00      |       -0.12      |          0   |        23   |       40      |
|        -0.01      |       -0.14      |         90   |        23   |       41      |
|        -0.08      |       -0.00      |          0   |        23   |       41      |
|        -0.08      |       -0.00      |         90   |        23   |       42      |
|        -0.04      |       -0.23      |          0   |        23   |       42      |
|        -0.00      |       -0.05      |         90   |        23   |       43      |
|        -0.00      |       -0.12      |          0   |        23   |       43      |
|        -0.00      |       -0.05      |         90   |        23   |       44      |
|        -0.00      |       -0.11      |          0   |        23   |       44      |
|        -0.00      |       -0.06      |         90   |        23   |       45      |
|        -0.01      |       -0.04      |          0   |        23   |       45      |
|        -0.03      |       -0.23      |         90   |        23   |       46      |
|        -0.01      |       -0.16      |          0   |        23   |       46      |
|        -0.00      |       -0.09      |         90   |        23   |       47      |
|        -0.00      |       -0.08      |          0   |        23   |       47      |
|        -0.00      |       -0.12      |         90   |        23   |       48      |
|        -0.01      |       -0.16      |          0   |        23   |       48      |
|        -0.01      |       -0.14      |         90   |        23   |       49      |
|        -0.00      |       -0.05      |          0   |        23   |       49      |
|        -0.01      |       -0.04      |         90   |        23   |       50      |
|        -0.00      |       -0.08      |          0   |        23   |       50      |
|        -0.00      |       -0.11      |         90   |        23   |       51      |
|        -0.00      |       -0.12      |          0   |        23   |       51      |
|        -0.01      |       -0.04      |         90   |        23   |       52      |
|        -0.01      |       -0.04      |          0   |        23   |       52      |
|        -0.00      |       -0.13      |         90   |        23   |       53      |
|        -0.00      |       -0.08      |          0   |        23   |       53      |
|        -0.00      |       -0.07      |         90   |        23   |       54      |
|        -0.00      |       -0.07      |          0   |        23   |       54      |
|        -0.01      |       -0.04      |         90   |        23   |       55      |
|        -0.03      |       -0.20      |          0   |        23   |       55      |
|        -0.00      |       -0.08      |         90   |        23   |       56      |
|        -0.04      |       -0.01      |          0   |        23   |       56      |
|        -0.01      |       -0.03      |         90   |        23   |       57      |
|        -0.00      |       -0.08      |          0   |        23   |       57      |
|        -0.00      |       -0.05      |         90   |        23   |       58      |
|        -0.00      |       -0.08      |          0   |        23   |       58      |
|        -0.00      |       -0.05      |         90   |        23   |       59      |
|        -0.00      |       -0.09      |          0   |        23   |       59      |
|        +0.98      |       -1.15      |         90   |        24   |       10      |
|        +0.99      |       -1.41      |          0   |        24   |       10      |
|        +0.97      |       -1.03      |         90   |        24   |       11      |
|        +0.98      |       -0.96      |          0   |        24   |       11      |
|        +0.99      |       -0.48      |         90   |        24   |       12      |
|        +1.00      |       -1.12      |          0   |        24   |       12      |
|        +0.99      |       -0.81      |         90   |        24   |       13      |
|        +1.00      |       -1.50      |          0   |        24   |       13      |
|        +0.99      |       -1.27      |         90   |        24   |       14      |
|        +0.99      |       -0.57      |          0   |        24   |       14      |
|        +0.98      |       -1.43      |         90   |        24   |       15      |
|        +0.99      |       -0.85      |          0   |        24   |       15      |
|        +0.97      |       -1.19      |         90   |        24   |       16      |
|        +0.95      |       -1.40      |          0   |        24   |       16      |
|        +1.00      |       -1.70      |         90   |        24   |       17      |
|        +1.00      |       -1.71      |          0   |        24   |       17      |
|        +0.99      |       -1.70      |         90   |        24   |       18      |
|        +0.99      |       -0.71      |          0   |        24   |       18      |
|        +1.00      |       -1.08      |         90   |        24   |       19      |
|        +0.98      |       -1.30      |          0   |        24   |       19      |
|        +0.96      |       -1.26      |         90   |        24   |       20      |
|        +0.95      |       -0.54      |          0   |        24   |       20      |
|        +0.95      |       -0.85      |         90   |        24   |       21      |
|        +0.98      |       -0.68      |          0   |        24   |       21      |
|        +0.95      |       -1.61      |         90   |        24   |       22      |
|        +0.97      |       -1.24      |          0   |        24   |       22      |
|        +0.99      |       -1.42      |         90   |        24   |       23      |
|        +0.99      |       -1.11      |          0   |        24   |       23      |
|        +0.98      |       -1.03      |         90   |        24   |       24      |
|        +0.97      |       -1.38      |          0   |        24   |       24      |
|        +0.96      |       -1.08      |         90   |        24   |       25      |
|        +0.99      |       -0.33      |          0   |        24   |       25      |
|        +0.76      |       -0.99      |         90   |        24   |       26      |
|        +0.99      |       -1.34      |          0   |        24   |       26      |
|        +0.96      |       -1.14      |         90   |        24   |       27      |
|        +0.93      |       -1.49      |          0   |        24   |       27      |
|        +0.80      |       -0.78      |         90   |        24   |       28      |
|        +0.99      |       -0.43      |          0   |        24   |       28      |
|        +0.99      |       -1.60      |         90   |        24   |       29      |
|        +0.98      |       -1.28      |          0   |        24   |       29      |
|        +0.92      |       -2.59      |         90   |        24   |       30      |
|        +0.83      |       -1.25      |          0   |        24   |       30      |
|        +0.98      |       -1.51      |         90   |        24   |       31      |
|        +0.96      |       -1.18      |          0   |        24   |       31      |
|        -0.00      |       -0.07      |         90   |        24   |       32      |
|        -0.05      |       -0.25      |          0   |        24   |       32      |
|        -0.01      |       -0.15      |         90   |        24   |       33      |
|        -0.00      |       -0.07      |          0   |        24   |       33      |
|        -0.04      |       -0.01      |         90   |        24   |       34      |
